Polish,English
nie,no
to,this
się,myself
w,in
na,on
i,and
że,that
z,with
co,what
jest,is
do,down
tak,yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
tylko,just
czy,whether
tu,here
może,maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,You are
już,already
jeśli,If
dla,for
wiem,I know
coś,something
dobrze,all right
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,You have
nic,nothing
tam,over there
mogę,I can
proszę,please
jej,her
są,are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,that
sobie,yourself
że,that
był,was
wiesz,You know
bardzo,very
było,was
przez,by
jego,his
ją,her
chcę,I want
dlaczego,why
pani,Ms
jeszcze,still
mój,my
nas,us
żeby,to
no,yeah
bo,because
chcesz,You want
ich,their
też,too
tutaj,here
naprawdę,really
nigdy,never
mamy,We have
kto,who
możesz,You can
dobra,all right
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,thank you
nawet,even
chyba,I guess
domu,house
ona,she
prawda,true